isbn13,isbn10,title,authors,categories,thumbnail,description,published_year,average_rating,num_pages,ratings_count,title_and_subtitle,tagged_description,simple_categories,anger,disgust,fear,joy,neutral,sadness,surprise,spanish_description
9780002005883,0002005883,Gilead,Marilynne Robinson,Fiction,http://books.google.com/books/content?id=KQZCPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",2004,3.85,247,361,Gilead,"9780002005883 A NOVEL THAT READERS and critics have been eagerly anticipating for over a decade, Gilead is an astonishingly imagined story of remarkable lives. John Ames is a preacher, the son of a preacher and the grandson (both maternal and paternal) of preachers. It’s 1956 in Gilead, Iowa, towards the end of the Reverend Ames’s life, and he is absorbed in recording his family’s story, a legacy for the young son he will never see grow up. Haunted by his grandfather’s presence, John tells of the rift between his grandfather and his father: the elder, an angry visionary who fought for the abolitionist cause, and his son, an ardent pacifist. He is troubled, too, by his prodigal namesake, Jack (John Ames) Boughton, his best friend’s lost son who returns to Gilead searching for forgiveness and redemption. Told in John Ames’s joyous, rambling voice that finds beauty, humour and truth in the smallest of life’s details, Gilead is a song of celebration and acceptance of the best and the worst the world has to offer. At its heart is a tale of the sacred bonds between fathers and sons, pitch-perfect in style and story, set to dazzle critics and readers alike.",Fiction,0.0641336441,0.2735916376,0.928168118,0.9327984452,0.6462159753,0.9671575427,0.7296020985,"UNA NOVELA QUE LECTORES y críticos han esperado con entusiasmo durante más de una década, Gilead es una historia asombrosamente imaginativa de vidas extraordinarias. John Ames es predicador, hijo de un predicador y nieto (tanto materno como paterno) de predicadores. Es 1956 en Gilead, Iowa, hacia el final de la vida del reverendo Ames, y él está absorto en registrar la historia de su familia, un legado para el joven hijo que nunca verá crecer. Atormentado por la presencia de su abuelo, John habla de la ruptura entre su abuelo y su padre: el mayor, un visionario furioso que luchó por la causa abolicionista, y su hijo, un pacifista ardiente. También le preocupa su tocayo pródigo, Jack (John Ames) Boughton, el hijo perdido de su mejor amigo que regresa a Gilead en busca de perdón y redención. Narrada con la voz alegre y divagadora de John Ames, que encuentra belleza, humor y verdad en los más mínimos detalles de la vida, Gilead es una canción de celebración y aceptación de lo mejor y lo peor que el mundo ofrece. En esencia, es una historia sobre los lazos sagrados entre padres e hijos, con un estilo y una trama impecables, destinada a deslumbrar a críticos y lectores por igual."
9780002261982,0002261987,Spider's Web,Charles Osborne;Agatha Christie,Detective and mystery stories,http://books.google.com/books/content?id=gA5GPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",2000,3.83,241,5164,Spider's Web: A Novel,"9780002261982 A new 'Christie for Christmas' -- a full-length novel adapted from her acclaimed play by Charles Osborne Following BLACK COFFEE and THE UNEXPECTED GUEST comes the final Agatha Christie play novelisation, bringing her superb storytelling to a new legion of fans. Clarissa, the wife of a Foreign Office diplomat, is given to daydreaming. 'Supposing I were to come down one morning and find a dead body in the library, what should I do?' she muses. Clarissa has her chance to find out when she discovers a body in the drawing-room of her house in Kent. Desperate to dispose of the body before her husband comes home with an important foreign politician, Clarissa persuades her three house guests to become accessories and accomplices. It seems that the murdered man was not unknown to certain members of the house party (but which ones?), and the search begins for the murderer and the motive, while at the same time trying to persuade a police inspector that there has been no murder at all... SPIDER'S WEB was written in 1954 specifically for Margaret Lockwood and opened first at the Theatre Royal Nottingham before moving to the Savoy Theatre in London on 14 December 1954. With THE MOUSETRAP and WI",Fiction,0.6126197577,0.3482847512,0.9425276518,0.7044219971,0.8879395127,0.1116901785,0.2525461018,"Una nueva ""Christie para Navidad"": una novela completa adaptada de su aclamada obra de Charles Osborne. Tras BLACK COFFEE y THE INESPERTED GUEST llega la última novelización de la obra de Agatha Christie, que acerca su magnífica narrativa a una nueva legión de fans. Clarissa, esposa de un diplomático del Ministerio de Asuntos Exteriores, es dada a soñar despierta. ""Supongamos que bajara una mañana y encontrara un cadáver en la biblioteca, ¿qué haría?"", reflexiona. Clarissa tiene la oportunidad de averiguarlo cuando descubre un cadáver en el salón de su casa en Kent. Desesperada por deshacerse del cuerpo antes de que su marido llegue a casa con un importante político extranjero, Clarissa convence a sus tres invitados para que se conviertan en cómplices. Parece que el hombre asesinado no era desconocido para ciertos miembros de la fiesta en la casa (¿pero cuáles?), y comienza la búsqueda del asesino y el motivo, mientras que al mismo tiempo se intenta persuadir a un inspector de policía de que no ha habido ningún asesinato en absoluto... SPIDER'S WEB fue escrita en 1954 específicamente para Margaret Lockwood y se estrenó primero en el Theatre Royal Nottingham antes de mudarse al Savoy Theatre en Londres el 14 de diciembre de 1954. Con THE MOUSETRAP y WI"
9780006178736,0006178731,Rage of angels,Sidney Sheldon,Fiction,http://books.google.com/books/content?id=FKo2TgANz74C&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",1993,3.93,512,29532,Rage of angels,"9780006178736 A memorable, mesmerizing heroine Jennifer -- brilliant, beautiful, an attorney on the way up until the Mafia's schemes win her the hatred of an implacable enemy -- and a love more destructive than hate. A dangerous, dramatic world The Dark Arena of organized crime and flashbulb lit courtrooms where ambitious prosecutors begin their climb to political power.",Fiction,0.0641336441,0.1040066779,0.9723208547,0.7672380805,0.5494767427,0.1116901785,0.07876550406,"Jennifer, una heroína memorable y cautivadora: brillante, hermosa, abogada en ascenso hasta que las intrigas de la mafia le ganan el odio de un enemigo implacable y un amor más destructivo que el odio. Un mundo peligroso y dramático: la oscura arena del crimen organizado y los tribunales iluminados por flashes donde fiscales ambiciosos comienzan su ascenso al poder político."
9780006280897,0006280897,The Four Loves,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=XhQ5XsFcpGIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",2002,4.15,170,33684,The Four Loves,"9780006280897 Lewis' work on the nature of love divides love into four categories; Affection, Friendship, Eros and Charity. The first three come naturally to humanity. Charity, however, the Gift-love of God, is divine, and without this supernatural love, the natural loves become distorted and even dangerous.",Nonfiction,0.3514843881,0.150722459,0.3607059419,0.2518811822,0.7326844931,0.1116901785,0.07876550406,"La obra de Lewis sobre la naturaleza del amor lo divide en cuatro categorías: afecto, amistad, eros y caridad. Las tres primeras son naturales para la humanidad. La caridad, sin embargo, el amor-don de Dios, es divina, y sin este amor sobrenatural, los amores naturales se distorsionan e incluso se vuelven peligrosos."
9780006280934,0006280935,The Problem of Pain,Clive Staples Lewis,Christian life,http://books.google.com/books/content?id=Kk-uVe5QK-gC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",2002,4.09,176,37569,The Problem of Pain,"9780006280934 ""In The Problem of Pain, C.S. Lewis, one of the most renowned Christian authors and thinkers, examines a universally applicable question within the human condition: If God is good and all-powerful, why does he allow his creatures to suffer pain? With his signature wealth of compassion and insight, C.S. Lewis offers answers to these crucial questions and shares his hope and wisdom to help heal a world hungering for a true understanding of human nature.""--Amazon.",Nonfiction,0.08141235262,0.1844954342,0.09504333138,0.04056443274,0.8843896985,0.4758805335,0.07876550406,"En El Problema del Dolor, C.S. Lewis, uno de los autores y pensadores cristianos más reconocidos, examina una pregunta universalmente aplicable a la condición humana: si Dios es bueno y todopoderoso, ¿por qué permite que sus criaturas sufran dolor? Con su característica riqueza de compasión y perspicacia, C.S. Lewis ofrece respuestas a estas preguntas cruciales y comparte su esperanza y sabiduría para ayudar a sanar un mundo que anhela una verdadera comprensión de la naturaleza humana."
9780006380832,0006380832,Empires of the Monsoon,Richard Hall,"Africa, East",http://books.google.com/books/content?id=MuPEQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",1998,4.41,608,65,Empires of the Monsoon: A History of the Indian Ocean and Its Invaders,"9780006380832 Until Vasco da Gama discovered the sea-route to the East in 1497-9 almost nothing was known in the West of the exotic cultures and wealth of the Indian Ocean and its peoples. It is this civilization and its destruction at the hands of the West that Richard Hall recreates in this book. Hall's history of the exploration and exploitation by Chinese and Arab travellers, and by the Portuguese, Dutch and British alike is one of brutality, betrayal and colonial ambition.",Nonfiction,0.2322252244,0.7271744609,0.05136283115,0.04337578639,0.6213920116,0.1116901785,0.2719033062,"Hasta que Vasco da Gama descubrió la ruta marítima hacia Oriente entre 1497 y 1499, en Occidente se desconocía casi todo sobre las exóticas culturas y la riqueza del océano Índico y sus pueblos. Richard Hall recrea en este libro esta civilización y su destrucción a manos de Occidente. La historia que Hall narra sobre la exploración y explotación por parte de viajeros chinos y árabes, así como por portugueses, holandeses y británicos, está marcada por la brutalidad, la traición y la ambición colonial."
9780006470229,000647022X,The Gap Into Madness,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",http://books.google.com/books/content?id=4oXavLNDWocC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",1994,4.15,743,103,The Gap Into Madness: Chaos and Order,"9780006470229 A new-cover reissue of the fourth book in the bestselling five-volume sf series created by the world-famous author of the Thomas Covenant chronicles -- and acclaimed as the 'best work of his career'. Events were not moving as the Amnion had intended. Once again humans had been false in their dealings with the aliens. As the planetoid Thanatos Minor exploded into atoms, the Trumpet hurtled into space only one step ahead of hostile pursuers. On board were Morn Hyland and her force-grown son Davies, cyborg Angus Thermopyle and Captain Nick Succorso -- old enemies thrown together in a desperate bid for survival. For both the Amnion and the UMCP, the immediate capture of the fleeing ship and the secrets it contained was imperative. But for Trumpet's exhausted crew the only hope lay in an illegal lab in the distant binary solar system of Valdor Industrial. It would be a journey of unpredictable danger -- from which not all would return...",Fiction,0.5381842256,0.1558547318,0.7474274635,0.8725657463,0.7121941447,0.4080012739,0.07876550406,"Una reedición con nueva portada del cuarto libro de la exitosa serie de ciencia ficción de cinco volúmenes creada por el mundialmente famoso autor de las crónicas de Thomas Covenant, aclamada como la ""mejor obra de su carrera"". Los acontecimientos no se desarrollaban como el Amnion pretendía. Una vez más, los humanos habían sido falsos en sus tratos con los alienígenas. Mientras el planetoide Thanatos Minor explotaba en átomos, la Trompeta se precipitaba al espacio solo un paso por delante de sus perseguidores hostiles. A bordo estaban Morn Hyland y su hijo Davies, desarrollado por la fuerza, el cíborg Angus Thermopyle y el capitán Nick Succorso: viejos enemigos reunidos en un intento desesperado por sobrevivir. Tanto para el Amnion como para la UMCP, la captura inmediata de la nave en fuga y los secretos que contenía era imperativa. Pero para la exhausta tripulación de la Trompeta, la única esperanza residía en un laboratorio ilegal en el distante sistema solar binario de Valdor Industrial. Sería un viaje de peligros impredecibles, del que no todos regresarían..."
9780006472612,0006472613,Master of the Game,Sidney Sheldon,Adventure stories,http://books.google.com/books/content?id=TkTYp-Tp6_IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,1982,4.11,489,43540,Master of the Game,9780006472612 Kate Blackwell is an enigma and one of the most powerful women in the world. But at her ninetieth birthday celebrations there are ghosts of absent friends and absent enemies.,Nonfiction,0.0641336441,0.1040066779,0.4044976532,0.04056443274,0.5494767427,0.8202826381,0.2344866842,"Kate Blackwell es un enigma y una de las mujeres más poderosas del mundo. Pero en la celebración de su nonagésimo cumpleaños, hay fantasmas de amigos y enemigos ausentes."
9780006482079,0006482074,Warhost of Vastmark,Janny Wurts,Fiction,http://books.google.com/books/content?id=uOL0fpS9WZkC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",1995,4.03,522,2966,Warhost of Vastmark,"9780006482079 Tricked once more by his wily half-brother, Lysaer, Lord of Light, arrives at the tiny harbor town of Merior to find that Arithon's ship yards have been abandoned and meticulously destroyed, and that the Master of Shadow has disappeared as if into thin air. Meanwhile Arithon and the Mad Prophet Dakar are traveling on foot through the treacherous Kelhorn Mountains towards the Vastmark clans, there to raise further support for his cause. But raising a warhost is a costly business. Is it mere coincidence that Princess Talith—Lysaer's beautiful, headstrong wife—is taken captive and held for a vast ransom by a master brigand? The forces of light and shadow circle and feint, drawing ever closer to a huge conflict. And in the background the Fellowship of Seven Sorcerers and the Koriani Enchantresses watch and plan, and wait.",Fiction,0.3006700277,0.2794816196,0.9155241251,0.04056443274,0.8402892947,0.3544607759,0.1356142312,"Engañado una vez más por su astuto medio hermano, Lysaer, Señor de la Luz, llega a la pequeña ciudad portuaria de Merior y descubre que los astilleros de Arithon han sido abandonados y destruidos meticulosamente, y que el Maestro de la Sombra ha desaparecido como si se hubiera desvanecido en el aire. Mientras tanto, Arithon y el Profeta Loco Dakar viajan a pie por las traicioneras Montañas Kelhorn hacia los clanes de la Marca Inmensa, para conseguir más apoyo para su causa. Pero reclutar una hueste de guerra es un asunto costoso. ¿Será mera coincidencia que la Princesa Talith, la bella y testaruda esposa de Lysaer, haya sido capturada y retenida a cambio de un cuantioso rescate por un maestro bandido? Las fuerzas de la luz y la sombra rondan y fingen, acercándose cada vez más a un gran conflicto. Y en segundo plano, la Comunidad de los Siete Hechiceros y las Hechiceras Koriani observan, planean y esperan."
9780006483014,0006483011,The Once and Future King,Terence Hanbury White,Arthurian romances,http://books.google.com/books/content?id=Jx6BvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",1996,4.04,823,2805,The Once and Future King,"9780006483014 An omnibus volume of the author's complete story of the Arthurian epic which includes: ""The sword in the stone"" (1939), ""The witch in the wood"" (1939), ""The ill-made knight"" (1940), ""The candle in the wind"" (published for the first time), and ""The book of Merlyn."" 1996.",Fiction,0.0641336441,0.1779266149,0.05136283115,0.04056443274,0.8603722453,0.1116901785,0.07876550406,"Un volumen ómnibus de la historia completa del autor de la epopeya artúrica que incluye: ""La espada en la piedra"" (1939), ""La bruja en el bosque"" (1939), ""El caballero mal hecho"" (1940), ""La vela en el viento"" (publicado por primera vez), y ""El libro de Merlín"". 1996."
